"year","unitid","inst_name","state_name","level_of_study","enrollment_fall"
"1998","139366","COLUMBUS STATE UNIVERSITY","Georgia","Undergraduate","4437"
"1998","139366","COLUMBUS STATE UNIVERSITY","Georgia","Graduate","680"
"1998","139366","COLUMBUS STATE UNIVERSITY","Georgia","Postbaccalaureate","680"
"1998","139719","FORT VALLEY STATE UNIVERSITY","Georgia","Undergraduate","2424"
"1998","139719","FORT VALLEY STATE UNIVERSITY","Georgia","Graduate","261"
"1998","139719","FORT VALLEY STATE UNIVERSITY","Georgia","Postbaccalaureate","261"
"1998","139755","GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS","Georgia","Undergraduate","10375"
"1998","139755","GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS","Georgia","Graduate","3579"
"1998","139755","GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS","Georgia","Postbaccalaureate","3579"
"1998","139764","GEORGIA SOUTHWESTERN STATE UNIVERSITY","Georgia","Undergraduate","2136"
"1998","139764","GEORGIA SOUTHWESTERN STATE UNIVERSITY","Georgia","Graduate","445"
"1998","139764","GEORGIA SOUTHWESTERN STATE UNIVERSITY","Georgia","Postbaccalaureate","445"
"1998","139861","GEORGIA COLLEGE AND STATE UNIVERSITY","Georgia","Undergraduate","4085"
"1998","139861","GEORGIA COLLEGE AND STATE UNIVERSITY","Georgia","Graduate","1083"
"1998","139861","GEORGIA COLLEGE AND STATE UNIVERSITY","Georgia","Postbaccalaureate","1083"
"1998","139931","GEORGIA SOUTHERN UNIVERSITY","Georgia","Undergraduate","12699"
"1998","139931","GEORGIA SOUTHERN UNIVERSITY","Georgia","Graduate","1205"
"1998","139931","GEORGIA SOUTHERN UNIVERSITY","Georgia","Postbaccalaureate","1205"
"1998","139940","GEORGIA STATE UNIVERSITY","Georgia","Undergraduate","16151"
"1998","139940","GEORGIA STATE UNIVERSITY","Georgia","Graduate","5893"
"1998","139940","GEORGIA STATE UNIVERSITY","Georgia","First professional","642"
"1998","139940","GEORGIA STATE UNIVERSITY","Georgia","Postbaccalaureate","6535"
"1998","139959","UNIVERSITY OF GEORGIA","Georgia","Undergraduate","23479"
"1998","139959","UNIVERSITY OF GEORGIA","Georgia","Graduate","5329"
"1998","139959","UNIVERSITY OF GEORGIA","Georgia","First professional","1201"
"1998","139959","UNIVERSITY OF GEORGIA","Georgia","Postbaccalaureate","6530"
"1998","140164","KENNESAW STATE UNIVERSITY","Georgia","Undergraduate","11329"
"1998","140164","KENNESAW STATE UNIVERSITY","Georgia","Graduate","1523"
"1998","140164","KENNESAW STATE UNIVERSITY","Georgia","Postbaccalaureate","1523"
"1998","140322","MACON STATE COLLEGE","Georgia","Undergraduate","3558"
"1998","140401","MEDICAL COLLEGE OF GEORGIA","Georgia","Undergraduate","725"
"1998","140401","MEDICAL COLLEGE OF GEORGIA","Georgia","Graduate","400"
"1998","140401","MEDICAL COLLEGE OF GEORGIA","Georgia","First professional","1371"
"1998","140401","MEDICAL COLLEGE OF GEORGIA","Georgia","Postbaccalaureate","1771"
"1998","140669","NORTH GEORGIA COLLEGE AND STATE UNIVERSITY","Georgia","Undergraduate","3005"
"1998","140669","NORTH GEORGIA COLLEGE AND STATE UNIVERSITY","Georgia","Graduate","308"
"1998","140669","NORTH GEORGIA COLLEGE AND STATE UNIVERSITY","Georgia","Postbaccalaureate","308"
"1998","140960","SAVANNAH STATE UNIVERSITY","Georgia","Undergraduate","2172"
"1998","140960","SAVANNAH STATE UNIVERSITY","Georgia","Graduate","116"
"1998","140960","SAVANNAH STATE UNIVERSITY","Georgia","Postbaccalaureate","116"
"1998","141097","SOUTHERN POLYTECHNIC STATE UNIVERSITY","Georgia","Undergraduate","3117"
"1998","141097","SOUTHERN POLYTECHNIC STATE UNIVERSITY","Georgia","Graduate","561"
"1998","141097","SOUTHERN POLYTECHNIC STATE UNIVERSITY","Georgia","Postbaccalaureate","561"
"1998","141264","VALDOSTA STATE UNIVERSITY","Georgia","Undergraduate","8345"
"1998","141264","VALDOSTA STATE UNIVERSITY","Georgia","Graduate","1041"
"1998","141264","VALDOSTA STATE UNIVERSITY","Georgia","Postbaccalaureate","1041"
"1998","141334","STATE UNIVERSITY OF WEST GEORGIA","Georgia","Undergraduate","6598"
"1998","141334","STATE UNIVERSITY OF WEST GEORGIA","Georgia","Graduate","2067"
"1998","141334","STATE UNIVERSITY OF WEST GEORGIA","Georgia","Postbaccalaureate","2067"
"1998","173124","BEMIDJI STATE UNIVERSITY","Minnesota","Undergraduate","4136"
"1998","173124","BEMIDJI STATE UNIVERSITY","Minnesota","Graduate","212"
"1998","173124","BEMIDJI STATE UNIVERSITY","Minnesota","Postbaccalaureate","212"
"1998","173920","MINNESOTA STATE UNVERSITY-MANKATO","Minnesota","Undergraduate","10065"
"1998","173920","MINNESOTA STATE UNVERSITY-MANKATO","Minnesota","Graduate","1723"
"1998","173920","MINNESOTA STATE UNVERSITY-MANKATO","Minnesota","Postbaccalaureate","1723"
"1998","174020","METROPOLITAN STATE UNIVERSITY","Minnesota","Undergraduate","4668"
"1998","174020","METROPOLITAN STATE UNIVERSITY","Minnesota","Graduate","226"
"1998","174020","METROPOLITAN STATE UNIVERSITY","Minnesota","Postbaccalaureate","226"
"1998","174066","UNIVERSITY OF MINNESOTA-TWIN CITIES","Minnesota","Undergraduate","33868"
"1998","174066","UNIVERSITY OF MINNESOTA-TWIN CITIES","Minnesota","Graduate","10500"
"1998","174066","UNIVERSITY OF MINNESOTA-TWIN CITIES","Minnesota","First professional","2605"
"1998","174066","UNIVERSITY OF MINNESOTA-TWIN CITIES","Minnesota","Postbaccalaureate","13105"
"1998","174075","UNIVERSITY OF MINNESOTA-CROOKSTON","Minnesota","Undergraduate","2492"
"1998","174233","UNIVERSITY OF MINNESOTA-DULUTH","Minnesota","Undergraduate","8100"
"1998","174233","UNIVERSITY OF MINNESOTA-DULUTH","Minnesota","Graduate","561"
"1998","174233","UNIVERSITY OF MINNESOTA-DULUTH","Minnesota","First professional","104"
"1998","174233","UNIVERSITY OF MINNESOTA-DULUTH","Minnesota","Postbaccalaureate","665"
"1998","174251","UNIVERSITY OF MINNESOTA-MORRIS","Minnesota","Undergraduate","1959"
"1998","174358","MOORHEAD STATE UNIVERSITY","Minnesota","Undergraduate","6185"
"1998","174358","MOORHEAD STATE UNIVERSITY","Minnesota","Graduate","320"
"1998","174358","MOORHEAD STATE UNIVERSITY","Minnesota","Postbaccalaureate","320"
"1998","174783","SAINT CLOUD STATE UNIVERSITY","Minnesota","Undergraduate","12416"
"1998","174783","SAINT CLOUD STATE UNIVERSITY","Minnesota","Graduate","1211"
"1998","174783","SAINT CLOUD STATE UNIVERSITY","Minnesota","Postbaccalaureate","1211"
"1998","175078","SOUTHWEST STATE UNIVERSITY","Minnesota","Undergraduate","3218"
"1998","175078","SOUTHWEST STATE UNIVERSITY","Minnesota","Graduate","265"
"1998","175078","SOUTHWEST STATE UNIVERSITY","Minnesota","Postbaccalaureate","265"
"1998","175166","MINNEAPOLIS VETERANS ADMINISTRATION-SCH OF ANESTH","Minnesota","Graduate","16"
"1998","175166","MINNEAPOLIS VETERANS ADMINISTRATION-SCH OF ANESTH","Minnesota","Postbaccalaureate","16"
"1998","175272","WINONA STATE UNIVERSITY","Minnesota","Undergraduate","6160"
"1998","175272","WINONA STATE UNIVERSITY","Minnesota","Graduate","615"
"1998","175272","WINONA STATE UNIVERSITY","Minnesota","Postbaccalaureate","615"
"1998","200697","AIR FORCE INSTITUTE OF TECHNOLOGY","Ohio","Graduate","461"
"1998","200697","AIR FORCE INSTITUTE OF TECHNOLOGY","Ohio","Postbaccalaureate","461"
"1998","200800","UNIVERSITY OF AKRON MAIN CAMPUS","Ohio","Undergraduate","17887"
"1998","200800","UNIVERSITY OF AKRON MAIN CAMPUS","Ohio","Graduate","3376"
"1998","200800","UNIVERSITY OF AKRON MAIN CAMPUS","Ohio","First professional","588"
"1998","200800","UNIVERSITY OF AKRON MAIN CAMPUS","Ohio","Postbaccalaureate","3964"
"1998","201441","BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS","Ohio","Undergraduate","15040"
"1998","201441","BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS","Ohio","Graduate","2695"
"1998","201441","BOWLING GREEN STATE UNIVERSITY-MAIN CAMPUS","Ohio","Postbaccalaureate","2695"
"1998","201690","CENTRAL STATE UNIVERSITY","Ohio","Undergraduate","998"
"1998","201690","CENTRAL STATE UNIVERSITY","Ohio","Graduate","28"
"1998","201690","CENTRAL STATE UNIVERSITY","Ohio","Postbaccalaureate","28"
"1998","201885","UNIVERSITY OF CINCINNATI-MAIN CAMPUS","Ohio","Undergraduate","20656"
"1998","201885","UNIVERSITY OF CINCINNATI-MAIN CAMPUS","Ohio","Graduate","6532"
"1998","201885","UNIVERSITY OF CINCINNATI-MAIN CAMPUS","Ohio","First professional","974"
"1998","201885","UNIVERSITY OF CINCINNATI-MAIN CAMPUS","Ohio","Postbaccalaureate","7506"
"1998","202134","CLEVELAND STATE UNIVERSITY","Ohio","Undergraduate","11215"
"1998","202134","CLEVELAND STATE UNIVERSITY","Ohio","Graduate","4245"
"1998","202134","CLEVELAND STATE UNIVERSITY","Ohio","First professional","866"
"1998","202134","CLEVELAND STATE UNIVERSITY","Ohio","Postbaccalaureate","5111"
"1998","203517","KENT STATE UNIVERSITY-MAIN CAMPUS","Ohio","Undergraduate","16862"
"1998","203517","KENT STATE UNIVERSITY-MAIN CAMPUS","Ohio","Graduate","4085"
"1998","203517","KENT STATE UNIVERSITY-MAIN CAMPUS","Ohio","Postbaccalaureate","4085"
"1998","203951","MEDICAL COLLEGE OF OHIO","Ohio","Graduate","413"
"1998","203951","MEDICAL COLLEGE OF OHIO","Ohio","First professional","575"
"1998","203951","MEDICAL COLLEGE OF OHIO","Ohio","Postbaccalaureate","988"
"1998","204006","MIAMI UNIVERSITY-HAMILTON","Ohio","Undergraduate","2590"
"1998","204006","MIAMI UNIVERSITY-HAMILTON","Ohio","Graduate","80"
"1998","204006","MIAMI UNIVERSITY-HAMILTON","Ohio","Postbaccalaureate","80"
"1998","204015","MIAMI UNIVERSITY-MIDDLETOWN","Ohio","Undergraduate","2425"
"1998","204015","MIAMI UNIVERSITY-MIDDLETOWN","Ohio","Graduate","104"
"1998","204015","MIAMI UNIVERSITY-MIDDLETOWN","Ohio","Postbaccalaureate","104"
"1998","204024","MIAMI UNIVERSITY-OXFORD","Ohio","Undergraduate","14732"
"1998","204024","MIAMI UNIVERSITY-OXFORD","Ohio","Graduate","1596"
"1998","204024","MIAMI UNIVERSITY-OXFORD","Ohio","Postbaccalaureate","1596"
"1998","204477","NORTHEASTERN OHIO UNIVERSITIES COLLEGE OF MEDICINE","Ohio","First professional","424"
"1998","204477","NORTHEASTERN OHIO UNIVERSITIES COLLEGE OF MEDICINE","Ohio","Postbaccalaureate","424"
"1998","204671","OHIO STATE UNIVERSITY-LIMA CAMPUS","Ohio","Undergraduate","1166"
"1998","204671","OHIO STATE UNIVERSITY-LIMA CAMPUS","Ohio","Graduate","155"
"1998","204671","OHIO STATE UNIVERSITY-LIMA CAMPUS","Ohio","Postbaccalaureate","155"
"1998","204680","OHIO STATE UNIVERSITY-MANSFIELD CAMPUS","Ohio","Undergraduate","1385"
"1998","204680","OHIO STATE UNIVERSITY-MANSFIELD CAMPUS","Ohio","Graduate","132"
"1998","204680","OHIO STATE UNIVERSITY-MANSFIELD CAMPUS","Ohio","Postbaccalaureate","132"
