"year","unitid","inst_name","state_name","years_after_entry","earnings_mean","earnings_sd"
"2014","133702","Florida State College at Jacksonville","Florida","8","33500","24100"
"2014","133951","Florida International University","Florida","10","52000","36700"
"2014","133951","Florida International University","Florida","6","41500","31100"
"2014","133951","Florida International University","Florida","8","46000","30900"
"2014","134097","Florida State University","Florida","10","53900","44500"
"2014","134097","Florida State University","Florida","6","39700","32300"
"2014","134097","Florida State University","Florida","8","48200","45400"
"2014","134130","University of Florida","Florida","10","65700","53000"
"2014","134130","University of Florida","Florida","6","47700","37000"
"2014","134130","University of Florida","Florida","8","57800","54300"
"2014","134343","Gulf Coast State College","Florida","10","34000","26300"
"2014","134343","Gulf Coast State College","Florida","6","28300","22800"
"2014","134343","Gulf Coast State College","Florida","8","30600","23700"
"2014","134608","Indian River State College","Florida","10","33800","24400"
"2014","134608","Indian River State College","Florida","6","27900","19800"
"2014","134608","Indian River State College","Florida","8","30900","21300"
"2014","135160","Florida Gateway College","Florida","10","32500","25100"
"2014","135160","Florida Gateway College","Florida","6","27600","19100"
"2014","135160","Florida Gateway College","Florida","8","33100","29100"
"2014","135188","Lake-Sumter State College","Florida","10","34900","27800"
"2014","135188","Lake-Sumter State College","Florida","6","27000","18300"
"2014","135188","Lake-Sumter State College","Florida","8","30800","19400"
"2014","135391","State College of Florida-Manatee-Sarasota","Florida","10","34900","25100"
"2014","135391","State College of Florida-Manatee-Sarasota","Florida","6","28300","19300"
"2014","135391","State College of Florida-Manatee-Sarasota","Florida","8","31900","23000"
"2014","135717","Miami Dade College","Florida","10","35600","26700"
"2014","135717","Miami Dade College","Florida","6","28800","20400"
"2014","135717","Miami Dade College","Florida","8","33000","24000"
"2014","136172","University of North Florida","Florida","10","49200","33200"
"2014","136172","University of North Florida","Florida","6","37500","22200"
"2014","136172","University of North Florida","Florida","8","44100","27600"
"2014","136233","Northwest Florida State College","Florida","10","34100","37100"
"2014","136233","Northwest Florida State College","Florida","6","27800","19600"
"2014","136233","Northwest Florida State College","Florida","8","29800","36600"
"2014","136358","Palm Beach State College","Florida","10","37800","27700"
"2014","136358","Palm Beach State College","Florida","6","29800","23200"
"2014","136358","Palm Beach State College","Florida","8","34200","22600"
"2014","136400","Pasco-Hernando State College","Florida","10","33100","24800"
"2014","136400","Pasco-Hernando State College","Florida","6","28000","20200"
"2014","136400","Pasco-Hernando State College","Florida","8","31000","20300"
"2014","136473","Pensacola State College","Florida","10","32100","23600"
"2014","136473","Pensacola State College","Florida","6","26800","19100"
"2014","136473","Pensacola State College","Florida","8","29500","22300"
"2014","136516","Polk State College","Florida","10","35000","23100"
"2014","136516","Polk State College","Florida","6","29400","20500"
"2014","136516","Polk State College","Florida","8","32100","20900"
"2014","137078","St Petersburg College","Florida","10","36700","27300"
"2014","137078","St Petersburg College","Florida","6","31700","23400"
"2014","137078","St Petersburg College","Florida","8","34200","25000"
"2014","137096","Santa Fe College","Florida","10","39100","28800"
"2014","137096","Santa Fe College","Florida","6","30100","21500"
"2014","137096","Santa Fe College","Florida","8","34800","25600"
"2014","137209","Seminole State College of Florida","Florida","10","35100","24900"
"2014","137209","Seminole State College of Florida","Florida","6","30700","20900"
"2014","137209","Seminole State College of Florida","Florida","8","33700","24200"
"2014","137281","Saint Johns River State College","Florida","10","33300","23500"
"2014","137281","Saint Johns River State College","Florida","6","28800","19400"
"2014","137281","Saint Johns River State College","Florida","8","32700","23100"
"2014","137315","South Florida State College","Florida","10","31300","24600"
"2014","137315","South Florida State College","Florida","6","26600","17800"
"2014","137315","South Florida State College","Florida","8","31200","20800"
"2014","137351","University of South Florida-Main Campus","Florida","10","48500","35200"
"2014","137351","University of South Florida-Main Campus","Florida","6","39400","27400"
"2014","137351","University of South Florida-Main Campus","Florida","8","43300","29300"
"2014","138187","Valencia College","Florida","10","37000","28100"
"2014","138187","Valencia College","Florida","6","29100","20300"
"2014","138187","Valencia College","Florida","8","32900","21900"
"2014","138354","The University of West Florida","Florida","10","43400","31300"
"2014","138354","The University of West Florida","Florida","6","33600","20800"
"2014","138354","The University of West Florida","Florida","8","37100","24700"
"2014","138558","Abraham Baldwin Agricultural College","Georgia","10","36300","25000"
"2014","138558","Abraham Baldwin Agricultural College","Georgia","6","29100","19800"
"2014","138558","Abraham Baldwin Agricultural College","Georgia","8","33000","20400"
"2014","138691","Darton State College","Georgia","10","34600","25800"
"2014","138691","Darton State College","Georgia","6","29500","20200"
"2014","138691","Darton State College","Georgia","8","30500","21900"
"2014","138716","Albany State University","Georgia","10","34600","21600"
"2014","138716","Albany State University","Georgia","6","27100","17500"
"2014","138716","Albany State University","Georgia","8","32500","21800"
"2014","138789","Armstrong State University","Georgia","10","44000","31600"
"2014","138789","Armstrong State University","Georgia","6","36000","23100"
"2014","138789","Armstrong State University","Georgia","8","41300","25700"
"2014","138901","Atlanta Metropolitan State College","Georgia","10","31100","20300"
"2014","138901","Atlanta Metropolitan State College","Georgia","6","24700","17700"
"2014","138901","Atlanta Metropolitan State College","Georgia","8","27300","19200"
"2014","139250","College of Coastal Georgia","Georgia","10","32800","24400"
"2014","139250","College of Coastal Georgia","Georgia","6","27500","18400"
"2014","139250","College of Coastal Georgia","Georgia","8","30300","20700"
"2014","139311","Clayton  State University","Georgia","10","42300","28300"
"2014","139311","Clayton  State University","Georgia","6","35900","23900"
"2014","139311","Clayton  State University","Georgia","8","39000","27400"
"2014","139366","Columbus State University","Georgia","10","38800","25400"
"2014","139366","Columbus State University","Georgia","6","31100","21700"
"2014","139366","Columbus State University","Georgia","8","35300","21600"
"2014","139463","Dalton State College","Georgia","10","34700","22100"
"2014","139463","Dalton State College","Georgia","6","28000","17500"
"2014","139463","Dalton State College","Georgia","8","31400","21200"
"2014","139621","East Georgia State College","Georgia","10","34000","22300"
"2014","139621","East Georgia State College","Georgia","6","26200","17800"
"2014","139621","East Georgia State College","Georgia","8","31300","21400"
"2014","139700","Georgia Highlands College","Georgia","10","38100","26300"
"2014","139700","Georgia Highlands College","Georgia","6","30400","19700"
"2014","139700","Georgia Highlands College","Georgia","8","34800","23400"
"2014","139719","Fort Valley State University","Georgia","10","34700","23000"
"2014","139719","Fort Valley State University","Georgia","6","25500","22600"
"2014","139719","Fort Valley State University","Georgia","8","30200","37000"
"2014","139755","Georgia Institute of Technology-Main Campus","Georgia","10","85900","64700"
"2014","139755","Georgia Institute of Technology-Main Campus","Georgia","6","66100","41300"
"2014","139755","Georgia Institute of Technology-Main Campus","Georgia","8","73200","54500"
"2014","139764","Georgia Southwestern State University","Georgia","10","40100","28000"
"2014","139764","Georgia Southwestern State University","Georgia","6","32900","22600"
"2014","139764","Georgia Southwestern State University","Georgia","8","36300","24000"
"2014","139861","Georgia College and State University","Georgia","10","45200","39400"
"2014","139861","Georgia College and State University","Georgia","6","37500","22000"
"2014","139861","Georgia College and State University","Georgia","8","41200","25300"
"2014","139931","Georgia Southern University","Georgia","10","46100","29200"
"2014","139931","Georgia Southern University","Georgia","6","36800","26000"
"2014","139931","Georgia Southern University","Georgia","8","42500","26900"
"2014","139940","Georgia State University","Georgia","10","48200","34000"
"2014","139940","Georgia State University","Georgia","6","38100","24900"
"2014","139940","Georgia State University","Georgia","8","43300","30700"
"2014","139959","University of Georgia","Georgia","10","59100","49900"
"2014","139959","University of Georgia","Georgia","6","45200","48000"
"2014","139959","University of Georgia","Georgia","8","53000","45300"
"2014","139968","Gordon State College","Georgia","10","34700","23400"
"2014","139968","Gordon State College","Georgia","6","27400","19400"
"2014","139968","Gordon State College","Georgia","8","31500","23300"
"2014","140164","Kennesaw State University","Georgia","10","47900","32800"
"2014","140164","Kennesaw State University","Georgia","6","38200","24800"
"2014","140164","Kennesaw State University","Georgia","8","43400","29400"
"2014","140960","Savannah State University","Georgia","10","35000","24100"
"2014","140960","Savannah State University","Georgia","6","26200","17100"
"2014","140960","Savannah State University","Georgia","8","30200","18800"
"2014","141097","Southern Polytechnic State University","Georgia","10","60100","35000"
"2014","141097","Southern Polytechnic State University","Georgia","6","49500","29400"
"2014","141097","Southern Polytechnic State University","Georgia","8","56600","34900"
"2014","141264","Valdosta State University","Georgia","10","41600","27200"
"2014","141264","Valdosta State University","Georgia","6","33200","20500"
"2014","141264","Valdosta State University","Georgia","8","37300","23700"
"2014","141334","University of West Georgia","Georgia","10","41700","28200"
"2014","141334","University of West Georgia","Georgia","6","33900","20800"
"2014","141334","University of West Georgia","Georgia","8","39100","25200"
"2014","173124","Bemidji State University","Minnesota","10","44000","28200"
"2014","173124","Bemidji State University","Minnesota","6","37000","21300"
"2014","173124","Bemidji State University","Minnesota","8","40400","24000"
"2014","173920","Minnesota State University-Mankato","Minnesota","10","48400","28100"
"2014","173920","Minnesota State University-Mankato","Minnesota","6","38800","22500"
"2014","173920","Minnesota State University-Mankato","Minnesota","8","44200","24600"
"2014","174020","Metropolitan State University","Minnesota","10","51700","31900"
"2014","174020","Metropolitan State University","Minnesota","6","44600","26200"
"2014","174020","Metropolitan State University","Minnesota","8","48600","36700"
"2014","174066","University of Minnesota-Twin Cities","Minnesota","10","61200","49600"
"2014","174066","University of Minnesota-Twin Cities","Minnesota","6","46000","31300"
"2014","174066","University of Minnesota-Twin Cities","Minnesota","8","54400","43400"
"2014","174075","University of Minnesota-Crookston","Minnesota","10","49100","29600"
"2014","174075","University of Minnesota-Crookston","Minnesota","6","42500","28000"
"2014","174075","University of Minnesota-Crookston","Minnesota","8","43000","27100"
"2014","174233","University of Minnesota-Duluth","Minnesota","10","56300","47900"
"2014","174233","University of Minnesota-Duluth","Minnesota","6","40900","21900"
"2014","174233","University of Minnesota-Duluth","Minnesota","8","49100","32600"
"2014","174251","University of Minnesota-Morris","Minnesota","10","44400","27400"
"2014","174251","University of Minnesota-Morris","Minnesota","6","34900","18800"
"2014","174251","University of Minnesota-Morris","Minnesota","8","39000","30200"
"2014","174358","Minnesota State University Moorhead","Minnesota","10","44900","27700"
"2014","174358","Minnesota State University Moorhead","Minnesota","6","36300","19500"
"2014","174358","Minnesota State University Moorhead","Minnesota","8","40300","23200"
"2014","174783","Saint Cloud State University","Minnesota","10","48600","29400"
"2014","174783","Saint Cloud State University","Minnesota","6","38000","20000"
"2014","174783","Saint Cloud State University","Minnesota","8","43400","24600"
"2014","175078","Southwest Minnesota State University","Minnesota","10","41400","29700"
"2014","175078","Southwest Minnesota State University","Minnesota","6","34900","20300"
"2014","175078","Southwest Minnesota State University","Minnesota","8","37200","21700"
"2014","175272","Winona State University","Minnesota","10","48600","29800"
"2014","175272","Winona State University","Minnesota","6","40000","19700"
"2014","175272","Winona State University","Minnesota","8","43100","22300"
"2014","200800","University of Akron Main Campus","Ohio","10","41800","30900"
"2014","200800","University of Akron Main Campus","Ohio","6","33900","21300"
"2014","200800","University of Akron Main Campus","Ohio","8","38500","25700"
"2014","201441","Bowling Green State University-Main Campus","Ohio","10","45300","34300"
"2014","201441","Bowling Green State University-Main Campus","Ohio","6","33500","19900"
"2014","201441","Bowling Green State University-Main Campus","Ohio","8","39300","23300"
"2014","201690","Central State University","Ohio","10","28600","19600"
"2014","201690","Central State University","Ohio","6","23000","14500"
"2014","201690","Central State University","Ohio","8","25100","16100"
"2014","201885","University of Cincinnati-Main Campus","Ohio","10","49700","44600"
"2014","201885","University of Cincinnati-Main Campus","Ohio","6","39600","29800"
"2014","201885","University of Cincinnati-Main Campus","Ohio","8","44400","36400"
"2014","201946","University of Cincinnati-Clermont College","Ohio","10","49700","44600"
"2014","201946","University of Cincinnati-Clermont College","Ohio","6","39600","29800"
"2014","201946","University of Cincinnati-Clermont College","Ohio","8","44400","36400"
"2014","201955","University of Cincinnati-Blue Ash College","Ohio","10","49700","44600"
"2014","201955","University of Cincinnati-Blue Ash College","Ohio","6","39600","29800"
"2014","201955","University of Cincinnati-Blue Ash College","Ohio","8","44400","36400"
"2014","202134","Cleveland State University","Ohio","10","46400","34700"
"2014","202134","Cleveland State University","Ohio","6","37200","24300"
"2014","202134","Cleveland State University","Ohio","8","42000","27900"
"2014","203447","Kent State University at Ashtabula","Ohio","10","42400","33600"
"2014","203447","Kent State University at Ashtabula","Ohio","6","33500","21400"
"2014","203447","Kent State University at Ashtabula","Ohio","8","38500","26200"
"2014","203456","Kent State University at East Liverpool","Ohio","10","42400","33600"
"2014","203456","Kent State University at East Liverpool","Ohio","6","33500","21400"
"2014","203456","Kent State University at East Liverpool","Ohio","8","38500","26200"
"2014","203465","Kent State University at Stark","Ohio","10","42400","33600"
"2014","203465","Kent State University at Stark","Ohio","6","33500","21400"
"2014","203465","Kent State University at Stark","Ohio","8","38500","26200"
"2014","203474","Kent State University at Trumbull","Ohio","10","42400","33600"
"2014","203474","Kent State University at Trumbull","Ohio","6","33500","21400"
"2014","203474","Kent State University at Trumbull","Ohio","8","38500","26200"
"2014","203483","Kent State University at Tuscarawas","Ohio","10","42400","33600"
"2014","203483","Kent State University at Tuscarawas","Ohio","6","33500","21400"
"2014","203483","Kent State University at Tuscarawas","Ohio","8","38500","26200"
"2014","203492","Kent State University at Salem","Ohio","10","42400","33600"
"2014","203492","Kent State University at Salem","Ohio","6","33500","21400"
"2014","203492","Kent State University at Salem","Ohio","8","38500","26200"
"2014","203517","Kent State University at Kent","Ohio","10","42400","33600"
"2014","203517","Kent State University at Kent","Ohio","6","33500","21400"
"2014","203517","Kent State University at Kent","Ohio","8","38500","26200"
"2014","203526","Kent State University at Geauga","Ohio","10","42400","33600"
"2014","203526","Kent State University at Geauga","Ohio","6","33500","21400"
"2014","203526","Kent State University at Geauga","Ohio","8","38500","26200"
"2014","204006","Miami University-Hamilton","Ohio","10","55400","46100"
"2014","204006","Miami University-Hamilton","Ohio","6","40800","28100"
"2014","204006","Miami University-Hamilton","Ohio","8","48800","34600"
"2014","204015","Miami University-Middletown","Ohio","10","55400","46100"
"2014","204015","Miami University-Middletown","Ohio","6","40800","28100"
"2014","204015","Miami University-Middletown","Ohio","8","48800","34600"
"2014","204024","Miami University-Oxford","Ohio","10","55400","46100"
"2014","204024","Miami University-Oxford","Ohio","6","40800","28100"
"2014","204024","Miami University-Oxford","Ohio","8","48800","34600"
"2014","204477","Northeast Ohio Medical University","Ohio","10","Suppressed data","Suppressed data"
"2014","204477","Northeast Ohio Medical University","Ohio","6","97200","47100"
"2014","204477","Northeast Ohio Medical University","Ohio","8","204200","119600"
"2014","204671","Ohio State University-Lima Campus","Ohio","10","53600","40400"
"2014","204671","Ohio State University-Lima Campus","Ohio","6","41500","29900"
"2014","204671","Ohio State University-Lima Campus","Ohio","8","47400","34900"
"2014","204680","Ohio State University-Mansfield Campus","Ohio","10","53600","40400"
"2014","204680","Ohio State University-Mansfield Campus","Ohio","6","41500","29900"
"2014","204680","Ohio State University-Mansfield Campus","Ohio","8","47400","34900"
"2014","204699","Ohio State University-Marion Campus","Ohio","10","53600","40400"
"2014","204699","Ohio State University-Marion Campus","Ohio","6","41500","29900"
"2014","204699","Ohio State University-Marion Campus","Ohio","8","47400","34900"
"2014","204705","Ohio State University-Newark Campus","Ohio","10","53600","40400"
"2014","204705","Ohio State University-Newark Campus","Ohio","6","41500","29900"
"2014","204705","Ohio State University-Newark Campus","Ohio","8","47400","34900"
"2014","204796","Ohio State University-Main Campus","Ohio","10","53600","40400"
"2014","204796","Ohio State University-Main Campus","Ohio","6","41500","29900"
"2014","204796","Ohio State University-Main Campus","Ohio","8","47400","34900"
"2014","204802","Ohio University-Eastern Campus","Ohio","10","45800","33000"
"2014","204802","Ohio University-Eastern Campus","Ohio","6","35900","26100"
"2014","204802","Ohio University-Eastern Campus","Ohio","8","41200","28100"
"2014","204820","Ohio University-Chillicothe Campus","Ohio","10","45800","33000"
"2014","204820","Ohio University-Chillicothe Campus","Ohio","6","35900","26100"
"2014","204820","Ohio University-Chillicothe Campus","Ohio","8","41200","28100"
"2014","204839","Ohio University-Southern Campus","Ohio","10","45800","33000"
"2014","204839","Ohio University-Southern Campus","Ohio","6","35900","26100"
"2014","204839","Ohio University-Southern Campus","Ohio","8","41200","28100"
"2014","204848","Ohio University-Lancaster Campus","Ohio","10","45800","33000"
"2014","204848","Ohio University-Lancaster Campus","Ohio","6","35900","26100"
"2014","204848","Ohio University-Lancaster Campus","Ohio","8","41200","28100"
"2014","204857","Ohio University-Main Campus","Ohio","10","45800","33000"
"2014","204857","Ohio University-Main Campus","Ohio","6","35900","26100"
"2014","204857","Ohio University-Main Campus","Ohio","8","41200","28100"
"2014","204866","Ohio University-Zanesville Campus","Ohio","10","45800","33000"
"2014","204866","Ohio University-Zanesville Campus","Ohio","6","35900","26100"
"2014","204866","Ohio University-Zanesville Campus","Ohio","8","41200","28100"
"2014","205443","Shawnee State University","Ohio","10","37500","26200"
"2014","205443","Shawnee State University","Ohio","6","28600","19300"
"2014","205443","Shawnee State University","Ohio","8","32500","21900"
"2014","206084","University of Toledo","Ohio","10","52800","45300"
"2014","206084","University of Toledo","Ohio","6","37900","27300"
"2014","206084","University of Toledo","Ohio","8","45100","32400"
"2014","206604","Wright State University-Main Campus","Ohio","10","46100","39300"
"2014","206604","Wright State University-Main Campus","Ohio","6","34500","22000"
"2014","206604","Wright State University-Main Campus","Ohio","8","39300","24900"
"2014","206613","Wright State University-Lake Campus","Ohio","10","46100","39300"
"2014","206613","Wright State University-Lake Campus","Ohio","6","34500","22000"
"2014","206613","Wright State University-Lake Campus","Ohio","8","39300","24900"
"2014","206695","Youngstown State University","Ohio","10","40200","28700"
"2014","206695","Youngstown State University","Ohio","6","32200","23100"
"2014","206695","Youngstown State University","Ohio","8","37200","25900"
"2014","222831","Angelo State University","Texas","10","46300","35300"
"2014","222831","Angelo State University","Texas","6","36100","23400"
"2014","222831","Angelo State University","Texas","8","41400","28500"
"2014","223506","Brazosport College","Texas","10","43500","33900"
"2014","223506","Brazosport College","Texas","6","37400","29100"
"2014","223506","Brazosport College","Texas","8","38800","29900"
"2014","224147","Texas A & M University-Corpus Christi","Texas","10","48600","32700"
"2014","224147","Texas A & M University-Corpus Christi","Texas","6","39100","26400"
"2014","224147","Texas A & M University-Corpus Christi","Texas","8","44500","28800"
"2014","224545","Texas A & M University-Texarkana","Texas","10","39200","24800"
"2014","224545","Texas A & M University-Texarkana","Texas","6","34800","20500"
"2014","224545","Texas A & M University-Texarkana","Texas","8","37500","28200"
"2014","224554","Texas A & M University-Commerce","Texas","10","41900","28400"
"2014","224554","Texas A & M University-Commerce","Texas","6","36000","23100"
"2014","224554","Texas A & M University-Commerce","Texas","8","38300","25600"
"2014","225414","University of Houston-Clear Lake","Texas","10","52900","34700"
"2014","225414","University of Houston-Clear Lake","Texas","6","45500","27200"
"2014","225414","University of Houston-Clear Lake","Texas","8","49200","31300"
"2014","225432","University of Houston-Downtown","Texas","10","49300","37200"
"2014","225432","University of Houston-Downtown","Texas","6","42500","28600"
"2014","225432","University of Houston-Downtown","Texas","8","45100","31100"
"2014","225502","University of Houston-Victoria","Texas","10","46200","31100"
"2014","225502","University of Houston-Victoria","Texas","6","43800","30900"
"2014","225502","University of Houston-Victoria","Texas","8","44800","25500"
"2014","225511","University of Houston","Texas","10","60600","48000"
"2014","225511","University of Houston","Texas","6","47100","33300"
"2014","225511","University of Houston","Texas","8","55000","41100"
"2014","226091","Lamar University","Texas","10","46000","33600"
"2014","226091","Lamar University","Texas","6","37200","26200"
"2014","226091","Lamar University","Texas","8","42000","31400"
"2014","226152","Texas A & M International University","Texas","10","46700","28500"
"2014","226152","Texas A & M International University","Texas","6","36000","23100"
"2014","226152","Texas A & M International University","Texas","8","41400","24700"
"2014","226806","Midland College","Texas","10","45400","38200"
"2014","226806","Midland College","Texas","6","37000","29800"
"2014","226806","Midland College","Texas","8","41000","30700"
"2014","226833","Midwestern State University","Texas","10","47000","31800"
"2014","226833","Midwestern State University","Texas","6","42400","35500"
"2014","226833","Midwestern State University","Texas","8","45900","31800"
"2014","227216","University of North Texas","Texas","10","49300","35100"
"2014","227216","University of North Texas","Texas","6","39300","25800"
"2014","227216","University of North Texas","Texas","8","43900","29400"
"2014","227368","The University of Texas-Pan American","Texas","10","44200","30500"
"2014","227368","The University of Texas-Pan American","Texas","6","34200","23900"
"2014","227368","The University of Texas-Pan American","Texas","8","40600","27500"
"2014","227377","The University of Texas at Brownsville","Texas","10","38200","28300"
"2014","227377","The University of Texas at Brownsville","Texas","6","30600","23500"
"2014","227377","The University of Texas at Brownsville","Texas","8","34600","26200"
"2014","227526","Prairie View A & M University","Texas","10","40700","31200"
"2014","227526","Prairie View A & M University","Texas","6","34300","24700"
"2014","227526","Prairie View A & M University","Texas","8","38600","27000"
"2014","227881","Sam Houston State University","Texas","10","49700","34500"
"2014","227881","Sam Houston State University","Texas","6","39300","22900"
"2014","227881","Sam Houston State University","Texas","8","45600","29000"
"2014","228431","Stephen F Austin State University","Texas","10","46400","34300"
"2014","228431","Stephen F Austin State University","Texas","6","36700","21600"
"2014","228431","Stephen F Austin State University","Texas","8","41400","24800"
"2014","228459","Texas State University","Texas","10","51100","36800"
"2014","228459","Texas State University","Texas","6","40600","26400"
"2014","228459","Texas State University","Texas","8","46200","34100"
"2014","228501","Sul Ross State University","Texas","10","41400","29300"
"2014","228501","Sul Ross State University","Texas","6","34600","22500"
"2014","228501","Sul Ross State University","Texas","8","38400","25100"
"2014","228529","Tarleton State University","Texas","10","47700","32800"
"2014","228529","Tarleton State University","Texas","6","38200","23600"
"2014","228529","Tarleton State University","Texas","8","43100","29100"
"2014","228635","University of Texas Southwestern Medical Center","Texas","10","141100","124100"
"2014","228635","University of Texas Southwestern Medical Center","Texas","6","71700","36400"
"2014","228635","University of Texas Southwestern Medical Center","Texas","8","116800","95500"
"2014","228644","The University of Texas Health Science Center at San Antonio","Texas","10","111500","107700"
"2014","228644","The University of Texas Health Science Center at San Antonio","Texas","6","67500","36100"
"2014","228644","The University of Texas Health Science Center at San Antonio","Texas","8","94300","72800"
"2014","228653","The University of Texas Medical Branch","Texas","10","76800","42100"
"2014","228653","The University of Texas Medical Branch","Texas","6","71000","37400"
"2014","228653","The University of Texas Medical Branch","Texas","8","76700","41600"
"2014","228705","Texas A & M University-Kingsville","Texas","10","49300","38500"
"2014","228705","Texas A & M University-Kingsville","Texas","6","39500","27000"
"2014","228705","Texas A & M University-Kingsville","Texas","8","44700","32300"
"2014","228723","Texas A & M University-College Station","Texas","10","67800","52100"
"2014","228723","Texas A & M University-College Station","Texas","6","53600","35300"
"2014","228723","Texas A & M University-College Station","Texas","8","61600","45100"
"2014","228769","The University of Texas at Arlington","Texas","10","54000","37800"
"2014","228769","The University of Texas at Arlington","Texas","6","43700","27400"
"2014","228769","The University of Texas at Arlington","Texas","8","47800","30600"
"2014","228778","The University of Texas at Austin","Texas","10","73900","65100"
"2014","228778","The University of Texas at Austin","Texas","6","52200","41700"
"2014","228778","The University of Texas at Austin","Texas","8","60200","50700"
"2014","228787","The University of Texas at Dallas","Texas","10","61400","47200"
"2014","228787","The University of Texas at Dallas","Texas","6","47800","31500"
"2014","228787","The University of Texas at Dallas","Texas","8","54400","39200"
"2014","228796","The University of Texas at El Paso","Texas","10","43300","32500"
"2014","228796","The University of Texas at El Paso","Texas","6","35300","33500"
"2014","228796","The University of Texas at El Paso","Texas","8","39300","28200"
"2014","228802","The University of Texas at Tyler","Texas","10","50500","34600"
"2014","228802","The University of Texas at Tyler","Texas","6","42900","26500"
"2014","228802","The University of Texas at Tyler","Texas","8","47400","31700"
"2014","228909","University of North Texas Health Science Center","Texas","10","174500","113500"
"2014","228909","University of North Texas Health Science Center","Texas","6","Suppressed data","Suppressed data"
"2014","228909","University of North Texas Health Science Center","Texas","8","143300","100100"
"2014","229018","The University of Texas of the Permian Basin","Texas","10","52300","36200"
"2014","229018","The University of Texas of the Permian Basin","Texas","6","44800","34300"
"2014","229018","The University of Texas of the Permian Basin","Texas","8","50100","36600"
"2014","229027","The University of Texas at San Antonio","Texas","10","49600","32900"
"2014","229027","The University of Texas at San Antonio","Texas","6","38800","24000"
"2014","229027","The University of Texas at San Antonio","Texas","8","44800","30600"
"2014","229063","Texas Southern University","Texas","10","37600","35900"
"2014","229063","Texas Southern University","Texas","6","30300","26800"
"2014","229063","Texas Southern University","Texas","8","34600","29100"
"2014","229115","Texas Tech University","Texas","10","61600","52200"
"2014","229115","Texas Tech University","Texas","6","46800","30500"
"2014","229115","Texas Tech University","Texas","8","54500","41800"
"2014","229179","Texas Woman's University","Texas","10","49100","38500"
"2014","229179","Texas Woman's University","Texas","6","42800","31100"
"2014","229179","Texas Woman's University","Texas","8","45900","29600"
"2014","229300","The University of Texas Health Science Center at Houston","Texas","10","138400","124600"
"2014","229300","The University of Texas Health Science Center at Houston","Texas","6","71100","40900"
"2014","229300","The University of Texas Health Science Center at Houston","Texas","8","74700","56800"
"2014","229337","Texas Tech University Health Sciences Center","Texas","10","100600","88600"
"2014","229337","Texas Tech University Health Sciences Center","Texas","6","76700","46900"
"2014","229337","Texas Tech University Health Sciences Center","Texas","8","88900","64400"
"2014","229814","West Texas A & M University","Texas","10","46700","30700"
"2014","229814","West Texas A & M University","Texas","6","39300","38600"
"2014","229814","West Texas A & M University","Texas","8","42800","32400"
"2014","262129","New College of Florida","Florida","10","Suppressed data","Suppressed data"
"2014","262129","New College of Florida","Florida","6","26000","15900"
"2014","262129","New College of Florida","Florida","8","36900","29600"
