year,unitid,inst_name,state_name,admission_rate,enrollement_rate,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,zip,region,inst_category,inst_size,longitude,latitude,default_rate,default_rate_denom,rev_tuition_fees_gross,rev_tuition_fees_net,rev_appropriations_local,rev_grants_contracts_local,rev_fed_approps_grants,rev_state_local_approps_grants,rev_gifts_grants_contracts,rev_other,rev_operating,rev_nonoperating,rev_total_current,exp_instruc_total,exp_research_total,exp_pub_serv_total,exp_res_pub_serv_total,exp_acad_supp_total,exp_student_serv_total,exp_total_current,exp_total_salaries,exp_total_benefits,endowment_beg,endowment_end,total_revenues_additions,total_expenses_deductions,completers_150pct,completion_rate_150pct,room_board_charge,independent_pct,female_pct,married_pct,faminc_med
2014,104151,Arizona State University-Tempe,Arizona,0.84327532,0.401585968,22581,19042,7594,53,7647,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.94,33.4219,0.073,14964,1277960960,1021014016,,50006000,344740992,421422016,57651000,25617000,1482742016,605073984,2117289984,767624000,278535008,39770000,318305024,291534016,116540000,2025049984,812017984,282896992,625833024,643187968,2117289984,2025049984,4421,0.655,,0.416935,0.534714,0.152003,37849
2015,104151,Arizona State University-Tempe,Arizona,0.829078014,0.396730349,25380,21042,8278,70,8348,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.935,33.4222,0.069,16222,1453852032,1157534976,,59310000,366244000,380304960,99612000,29220000,1644337024,617217984,2289028096,749721984,261055008,36807000,297862016,265540000,111018000,2180524032,867537024,318272992,643187968,612590016,2289028096,2180524032,4183,0.674,,0.431022,0.541674,0.153006,36646
2016,104151,Arizona State University-Tempe,Arizona,0.825028267,0.402819245,24764,20431,8185,45,8230,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.934,33.4177,0.067,17420,1585451008,1250828032,,77609000,366500000,418176000,74282000,32345000,1782224000,626284992,2441842944,810656000,267303008,35378000,302681024,294705984,123377000,2342469888,931190976,335473984,612590016,665488000,2441842944,2342469888,4602,0.634,,0.43043,0.556831,0.15078,35851.5
2017,104151,Arizona State University-Tempe,Arizona,0.84146392,0.387843562,24127,20302,7822,52,7874,85287,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-111.934,33.4177,0.065,18571,1697363968,1323267968,,98796000,414244992,449754976,75791000,18745000,1915785984,639011008,2583781120,973372032,333019008,41293000,374312000,352486016,158819008,2520707072,999116992,335326016,665488000,720564992,2583781120,2520707072,,,,,,,
1990,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,105123376,,,1714365,139391024,248494304,45173416,4193295,,,662717760,178260560,149293856,22476648,171770496,53589608,15655924,653920640,302617856,51362312,,,,,,,,,,,
1991,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,,,,,,,,,110765848,,,1403764,148159344,249530192,44220176,5035666,,,690315904,182130816,154811440,24986768,179798208,51768052,15008240,659330368,307188704,55272420,,,,,,,,,,,
1992,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,111544288,,,1490127,158173088,253160384,47706972,7331005,,,704591040,182731328,162502512,25932736,188435248,51232284,12793252,697957632,308048352,58435380,,,,,,,,,,,
1993,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,124156536,,,1656345,190691024,253326656,48461740,14429714,,,763434176,188693744,192730944,27833116,220564064,50641352,12550444,757185664,321143904,60482808,,,,,,,,,,,
1994,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,129197176,,,1545854,203218208,270995328,52437500,17871614,,,761048064,197639840,207921616,27735312,235656928,53877400,12700076,756377920,339023520,58661780,,,,,,,,,,,
1995,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,133825864,,,1912092,187203056,282852992,53990240,16513480,,,772224320,204419552,193650576,30407654,224058224,57330980,12883638,757527104,349269696,63899788,,,,,,,,,,,
1996,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,134326848,,,3021991,182683888,296315744,56801992,17138920,,,786528256,210998000,194947008,33175732,228122736,58257744,18975776,788321088,363214560,69230880,92056744,107001280,,,2051,0.517,,,,,
1997,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,140600128,,,3795132,195476432,315431552,62140904,19182428,,,833209792,223202304,207212528,36846776,244059296,60545328,20228322,823883968,388220064,72494352,107001280,129577440,,,2041,0.537,,0.289304,0.560736,0.0974201,27958.5
1998,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,,,,,,,,,150165216,,,3407009,214008400,332615232,75089872,20333904,,,900381184,237676304,221513872,41715980,263229856,63821972,20477634,874441216,409441568,75654800,129577440,149953168,,,2221,0.518,,0.275962,0.571104,0.0933754,28682
1999,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,85721,"Southwest: AZ, NM, OK, and TX",,,,,,,160650656,,,3642923,225867408,341868448,75610808,21525132,,,938501568,254832928,235742672,42012048,277754720,68397504,23732676,931689088,435115040,79974304,149953168,151506496,,,2333,0.543,,0.274819,0.56034,0.0937385,30000
2000,104179,UNIVERSITY OF ARIZONA,Arizona,,,,,,,,,,,,,,,,170152448,,,3750535,241980064,348773344,81457808,25019902,,,989402560,272946144,248055792,41624036,289679840,70269496,27236360,982115328,462053120,85742296,151506496,157819776,,,2412,0.552,,0.273939,0.549818,0.0985455,31931.5
2001,104179,UNIVERSITY OF ARIZONA,Arizona,0.842486942,0.35809306,19719,16613,5727,222,5949,857210066,"Southwest: AZ, NM, OK, and TX",,,,,,,189368000,140096000,,54757000,260386000,399016992,35407000,43903000,585985024,392156000,997153024,327585088,297381440,49400936,346782368,72576784,25849298,978144000,500663808,93635272,,,997153024,978144000,2186,0.546,,0.252079,0.548868,0.0904575,34207.5
2002,104179,UNIVERSITY OF ARIZONA,Arizona,0.855839048,0.342190538,19832,16973,5613,195,5808,85721-0066,"Southwest: AZ, NM, OK, and TX",,,,,,,188828992,149532992,,61734000,315215008,415315968,40572000,28309000,670262976,396596000,1082631040,331883296,357703136,48553480,406256608,71089824,24200718,1048993984,523426208,105368864,292380000,297744992,1082631040,1048993984,2424,0.547,,0.239532,0.551873,0.0841896,35639
2003,104179,UNIVERSITY OF ARIZONA,Arizona,0.850649044,0.330614283,21185,18021,5780,178,5958,85721-0066,"Southwest: AZ, NM, OK, and TX",,,,,,,227084000,172528992,,61206000,346281984,409299040,41717000,32966000,729870016,405720992,1148708992,348744736,380932128,64316416,445248544,78031976,27690234,1133915008,541252736,134621040,297744992,348343008,1148708992,1133915008,2903,0.571,,0.245977,0.562671,0.0877942,36953
2004,104179,UNIVERSITY OF ARIZONA,Arizona,0.834056902,0.289316758,23725,19788,5566,159,5725,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above",,,,,,247918000,181776000,,66442000,359880992,433128992,42156000,32598000,769953024,423881984,1203643008,323854816,417344960,67757264,485102208,92119688,30199498,1190178944,566007936,131080976,348343008,393400000,1203643008,1190178944,3020,0.589,,0.243916,0.558739,0.0839602,37290.5
2005,104179,University of Arizona,Arizona,0.87695487,0.380485319,17904,15701,5785,189,5974,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,269688000,193498000,,66391000,346275008,457536032,51111000,62781000,784692992,484432992,1294798976,363398624,414728832,74994096,489722944,105591920,29438640,1262364032,586604288,170941488,393400000,466652000,1294798976,1262364032,3072,0.564,,0.236514,0.551903,0.0797573,37137
2006,104179,University of Arizona,Arizona,0.860557529,0.420415588,16609,14293,5788,221,6009,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,295313984,209520992,,66802000,339721984,503068000,58083000,61828000,812284992,546009984,1385436032,388850400,420517408,78157552,498674944,114481160,32749444,1323213056,609765440,173515632,466652000,532351008,1385436032,1323213056,3212,0.561,,0.24144,0.544557,0.0793459,37903.5
2007,104179,University of Arizona,Arizona,0.774215097,0.430492818,25449,19703,7698,784,8482,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",,,,,327051008,231536000,,67555000,355004992,536532000,71348000,64383000,806801024,610291008,1459059968,412687776,446995744,85482440,532478176,123635872,34839904,1416180992,640415872,196275728,532351008,518708992,1459059968,1416180992,3209,0.572,,0.231918,0.544575,0.0704373,40104
2008,104179,University of Arizona,Arizona,0.805447126,0.369479018,22544,18158,6331,378,6709,,,,,,,,,377353984,269447008,,70305000,366287008,471341984,78156000,111291000,860049024,571422976,1456588032,425482496,458748480,83120912,541869376,125468632,33588500,1446772992,651767232,201933008,518708992,436603008,1456588032,1446772992,3375,0.584,,0.20453,0.547487,0.0623117,43599
2009,104179,University of Arizona,Arizona,0.780012926,0.360745728,24756,19310,6768,198,6966,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,,,469086016,329585984,,77929000,399227008,456998016,83106000,54180000,961960000,573737024,1558880000,399980992,440467008,77444000,517911008,128262000,30969000,1466454016,671513984,202034000,436603008,480239008,1558880000,1466454016,3325,0.597,,0.188158,0.551097,0.0551097,43180
2010,104179,University of Arizona,Arizona,0.75361448,0.350408611,26629,20068,6804,228,7032,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,,,537436032,379199008,1141000,85490000,433790016,461568000,87355000,28274000,1052944000,574030976,1651233024,411528000,450844992,81132000,531976992,151936000,35685000,1555748992,685206016,227446000,480239008,552350976,1651233024,1555748992,3550,0.614,,0.182039,0.54344,0.0511748,40494
2011,104179,University of Arizona,Arizona,0.75361448,0.350408611,26629,20068,6804,228,7032,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,0.06,4841,586932992,410507008,1036000,105647000,439753984,409349984,96201000,42789000,1123271936,500452992,1684755968,430475008,467099008,84170000,551268992,183374000,42093000,1627782016,706566976,232138000,552350976,563654976,1684755968,1627782016,3547,0.613,,0.177294,0.545395,0.0504202,40299
2012,104179,University of Arizona,Arizona,0.713934609,0.380763614,26854,19172,6874,426,7300,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,0.068,5157,644755968,461580000,1155000,111266000,449427008,399673984,74530000,133444000,1174256000,584697984,1791604992,435944000,486270016,98155000,584425024,198552000,45701000,1698968064,718145024,248264000,563654976,611745984,1791604992,1698968064,3825,0.614,,0.176783,0.555066,0.0496818,41067
2013,104179,University of Arizona,Arizona,0.769151886,0.365463434,26329,20251,6955,446,7401,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,0.07,5682,670321984,484808992,1121000,113283000,387577984,413963008,78287000,137884992,1153097984,618537984,1832304000,470404992,451265984,91656000,542921984,228915008,49597000,1753336960,756310016,252171008,611745984,760678976,1832304000,1753336960,3815,0.603,,0.185646,0.54627,0.0522913,41632
2014,104179,University of Arizona,Arizona,0.746172417,0.31715608,32723,24417,7052,692,7744,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,0.06,6390,749414016,554768000,1027000,187618000,370283008,494071008,89975000,220737984,1314205056,665840000,2042135040,461590016,476544992,84997000,561542016,290126016,50323000,1847923968,814185024,284638016,760678976,767939968,2042135040,1847923968,4127,0.609,,0.177394,0.546087,0.0488986,43588
2015,104179,University of Arizona,Arizona,0.764262314,0.296995676,35408,27061,6973,1064,8037,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2321,0.056,6122,805144000,608678976,972000,247788992,360505984,531082976,80890000,173932000,1423814016,578796992,2040877952,503319008,452399008,85244000,537643008,370140992,56347000,1932260992,894489984,318923008,767939968,754651008,2040877952,1932260992,4073,0.599,,0.161087,0.549086,0.0432638,44116.5
2016,104179,University of Arizona,Arizona,0.78618039,0.272676116,36166,28433,5997,1756,7753,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2327,0.067,6686,854292992,653724992,1002000,218772000,362536992,511059968,80060000,174555008,1447480064,607148032,2109787008,506363008,457572992,96417000,553990016,341960992,59420000,1954104064,888510976,305008000,754651008,843529024,2109787008,1954104064,4356,0.636,,0.162471,0.562854,0.0440805,43043
2017,104179,University of Arizona,Arizona,0.835783147,0.26202428,33608,28089,5902,1458,7360,85721-0066,"Southwest: AZ, NM, OK, and TX","Degree-granting, primarily baccalaureate or above","20,000 and above",-110.951,32.2327,0.058,7084,867561984,653518976,1018000,205347008,383134016,505203008,81746000,178429984,1430611968,640768000,2123032960,568622976,497692000,90519000,588211008,341176992,79313000,2060678016,955622016,323291008,843529024,959631680,2123032960,2060678016,,,,,,,
1990,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,86011,"Southwest: AZ, NM, OK, and TX",,,,,,,36430704,,,1642585,13298932,72415072,2921666,5280374,,,148182240,50465016,6754322,5323973,12078295,9755653,9329410,148950752,66724448,15538767,,,,,,,,,,,
1991,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,39691156,,,2194188,15588957,75329200,4568958,5626127,,,160556992,52039264,7912667,6074585,13987252,10784764,9466874,155940768,67908672,16619350,,,,,,,,,,,
1992,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,41496864,,,2336616,18977740,78085328,4431385,7241468,,,170560800,52742368,9298526,6587108,15885634,12234136,10160418,162427344,68509624,16089403,,,,,,,,,,,
1993,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,47143776,,,2933078,18063648,81215792,5509846,8628986,,,183446752,57847080,9134198,7869370,17003568,13185079,10998514,176215248,72814560,17156650,,,,,,,,,,,
1994,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,86011,"Southwest: AZ, NM, OK, and TX",,,,,,,50875624,,,3920412,19424584,88240576,6331404,9295758,,,197037936,62937912,10078606,8591953,18670560,14206929,11529684,192500576,80441328,18559312,,,,,,,,,,,
1995,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,56530476,,,4572401,19508530,94344120,7603518,10419030,,,213332192,66180408,10895541,10027482,20923024,15886035,12418111,205629328,86216784,19764012,,,,,,,,,,,
1996,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,58654700,,,4853275,19487460,98163432,6403997,11174904,,,218703248,71798640,10780548,10283619,21064168,17103804,13212363,219898832,92074688,20377124,6087971,6766248,,,773,0.411,,,,,
1997,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,60703288,,,4286674,20452538,105085920,6804539,11066149,,,229236048,77355232,11318298,14659754,25978052,18909044,14930473,234670800,96710552,21439234,6766248,8116583,,,855,0.408,,0.348548,0.59715,0.136388,28384
1998,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,62754516,,,4392661,22558180,110542512,6703797,9740585,,,238289248,79892280,12361654,12199929,24561584,21656014,15101156,240092864,107358040,20943760,8116583,9095047,,,857,0.444,,0.356925,0.601505,0.135101,29728
1999,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,65628812,,,5065133,24321556,116274176,8134101,10170114,,,251779520,84297400,13089341,10596962,23686304,19708780,15079617,248330768,121469552,23206320,9095047,9105490,,,724,0.425,,0.367435,0.606259,0.146492,30123.5
2000,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,,,,,,,,,,,,,,,,65901128,,,5023435,29730170,120533472,9018539,11029959,,,264097184,87053376,14963074,12446021,27409096,22469488,17082528,260664240,125888352,24567068,9105490,9907873,,,847,0.42,,0.368281,0.611977,0.148142,30705.5
2001,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,0.804145362,0.458839559,10952,8807,3432,609,4041,,,,,,,,,70826400,51196904,7850834,5689408,38390400,129491048,3906839,11098468,136876576,126276400,263806688,104859344,19575658,22470198,42045856,22332012,21967764,267076992,124507768,30647322,,,263806688,267076992,1035,0.457,,0.364927,0.613377,0.147308,32504.5
2002,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,0.81483822,0.371645727,7912,6447,2153,243,2396,,,,,,,,,72496128,53271744,8519908,5093434,39577424,128584960,4119763,13669454,143508816,127029496,271448896,105004768,21028418,22727220,43755640,22821576,20133320,269094816,126316496,32983804,42019120,45075152,271448896,269094816,1028,0.518,,0.372431,0.615661,0.155954,33577.5
2003,105330,NORTHERN ARIZONA UNIVERSITY,Arizona,0.812935417,0.274348581,10622,8635,2107,262,2369,86011-4132,"Southwest: AZ, NM, OK, and TX",,,,,,,94065160,70820904,9564155,5107354,43252844,130071360,3601661,9889163,165155104,127915040,293859072,109435168,21662162,25222662,46884824,23198506,22013284,279236032,125712344,37774444,45075152,52729856,293859072,279236032,1040,0.502,,0.37863,0.62186,0.154976,33963
