"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_count_female","repay_count_male","repay_count_firstgen"
"2016","138901","Atlanta Metropolitan State College","Georgia","5","0.216391","0.241223","0.173228","0.233886","883","508","543"
"2016","138901","Atlanta Metropolitan State College","Georgia","7","0.327536","0.340517","0.300885","0.352381","464","226","315"
"2016","139010","Bainbridge State College","Georgia","3","0.18917","0.194805","0.174479","0.175449","2002","768","1670"
"2016","139010","Bainbridge State College","Georgia","5","0.209715","0.212736","0.203652","0.196734","1429","712","1286"
"2016","139010","Bainbridge State College","Georgia","7","0.25355","0.249022","0.269406","0.249191","767","219","618"
"2016","139250","College of Coastal Georgia","Georgia","3","0.38635","0.385936","0.387446","0.352075","1223","462","747"
"2016","139250","College of Coastal Georgia","Georgia","5","0.359076","0.355049","0.370149","0.367418","921","335","577"
"2016","139250","College of Coastal Georgia","Georgia","7","0.485762","0.497696","0.453988","0.473333","434","163","300"
"2016","139311","Clayton  State University","Georgia","3","0.361157","0.358396","0.369463","0.361453","3192","1061","1790"
"2016","139311","Clayton  State University","Georgia","5","0.428965","0.42535","0.43891","0.437122","2927","1064","1654"
"2016","139311","Clayton  State University","Georgia","7","0.513967","0.512354","0.518776","0.554479","2145","719","1239"
"2016","139366","Columbus State University","Georgia","3","0.375826","0.364317","0.395007","0.362547","2270","1362","1335"
"2016","139366","Columbus State University","Georgia","5","0.407705","0.400593","0.42086","0.404624","2022","1093","1211"
"2016","139366","Columbus State University","Georgia","7","0.487733","0.489848","0.483503","0.470911","1576","788","911"
"2016","139463","Dalton State College","Georgia","3","0.447441","0.425676","0.488152","0.441813","1184","633","971"
"2016","139463","Dalton State College","Georgia","5","0.457859","0.461606","0.451043","0.43047","1133","623","978"
"2016","139463","Dalton State College","Georgia","7","0.522099","0.528354","0.509642","0.511589","723","363","604"
"2016","139621","East Georgia State College","Georgia","3","0.240087","0.219702","0.266169","0.224152","1543","1206","1267"
"2016","139621","East Georgia State College","Georgia","5","0.316132","0.317568","0.314374","0.284762","1184","967","1050"
"2016","139621","East Georgia State College","Georgia","7","0.386306","0.353116","0.430255","0.367418","674","509","577"
"2016","139700","Georgia Highlands College","Georgia","3","0.418319","0.407871","0.439053","0.412684","1677","845","1088"
"2016","139700","Georgia Highlands College","Georgia","5","0.4745","0.476969","0.469419","0.457241","1346","654","877"
"2016","139700","Georgia Highlands College","Georgia","7","0.519392","0.512994","0.532558","0.508117","885","430","616"
"2016","139719","Fort Valley State University","Georgia","3","0.191742","0.185893","0.199078","0.179074","1361","1085","994"
"2016","139719","Fort Valley State University","Georgia","5","0.264311","0.272174","0.255985","0.252304","1150","1086","868"
"2016","139719","Fort Valley State University","Georgia","7","0.328786","0.343575","0.314667","0.326889","716","750","569"
"2016","139755","Georgia Institute of Technology-Main Campus","Georgia","3","0.847209","0.842404","0.849032","0.828244","882","2325","524"
"2016","139755","Georgia Institute of Technology-Main Campus","Georgia","5","0.87735","0.887432","0.873391","0.833021","915","2330","533"
"2016","139755","Georgia Institute of Technology-Main Campus","Georgia","7","0.897874","0.889819","0.900887","0.861915","717","1917","449"
"2016","139764","Georgia Southwestern State University","Georgia","3","0.450366","0.427734","0.498952","0.390492","1024","477","589"
"2016","139764","Georgia Southwestern State University","Georgia","5","0.510175","0.514256","0.502092","0.468121","947","478","596"
"2016","139764","Georgia Southwestern State University","Georgia","7","0.588645","0.578402","0.609756","0.564706","676","328","425"
"2016","139861","Georgia College and State University","Georgia","3","0.710251","0.704047","0.720386","0.669388","1186","726","490"
"2016","139861","Georgia College and State University","Georgia","5","0.726101","0.736462","0.710875","0.708253","1108","754","521"
"2016","139861","Georgia College and State University","Georgia","7","0.761261","0.767296","0.751667","0.711253","954","600","471"
"2016","139931","Georgia Southern University","Georgia","3","0.523011","0.51074","0.534813","0.498455","3771","3921","2265"
"2016","139931","Georgia Southern University","Georgia","5","0.569859","0.562048","0.577452","0.53932","3320","3415","2060"
"2016","139931","Georgia Southern University","Georgia","7","0.627499","0.628056","0.626949","0.601259","2659","2694","1748"
"2016","139940","Georgia State University","Georgia","3","0.444379","0.427933","0.471685","0.414058","7389","4450","3770"
"2016","139940","Georgia State University","Georgia","5","0.507885","0.503057","0.51603","0.5","6051","3587","3066"
"2016","139940","Georgia State University","Georgia","7","0.563435","0.561884","0.566176","0.547123","4565","2584","2398"
"2016","139959","University of Georgia","Georgia","3","0.680218","0.677484","0.683926","0.639057","4006","2955","1485"
"2016","139959","University of Georgia","Georgia","5","0.707235","0.706897","0.707676","0.653316","3712","2853","1523"
"2016","139959","University of Georgia","Georgia","7","0.765734","0.764767","0.766977","0.719703","2895","2253","1213"
"2016","139968","Gordon State College","Georgia","3","0.300777","0.297744","0.307054","0.31853","1995","964","1306"
"2016","139968","Gordon State College","Georgia","5","0.292469","0.304646","0.270853","0.298946","1894","1067","1328"
"2016","139968","Gordon State College","Georgia","7","0.396601","0.414176","0.361953","0.424058","1171","594","823"
"2016","140960","Savannah State University","Georgia","3","0.195301","0.17731","0.216454","0.199038","1472","1252","1040"
